体育,#genre#
CCTV16-4K,http://live.cooltv.top/tv/aishang.php?id=cctv164k
CCTV16-4K,http://159.75.85.63:8765/telegram@feiyangdigital-cctv16-4k.m3u8
咪咕体育,http://39.135.134.67/000000001000/3000000001000028638/index.m3u8
魅力足球,http://183.207.255.188/live/program/live/mlyyhd/4000000/mnf.m3u8
新视觉,http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8
新视觉,http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8?zshangd
广东体育,http://159.75.85.63:8765/telegram@feiyangdigital-gdty.m3u8
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
4K影视2,http://111.20.40.170/PLTV/88888893/224/3221226352/index.m3u8
MUZZIK ZZ4000 4K,http://muzzik-live.morescreens.com/mts-a6/playlist.m3u8
斗鱼4K,http://epg.112114.xyz/douyu/9249162
CCTV5-高清,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5-高清,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
新视觉HD,http://112.25.48.69/live/program/live/xsjhd/4000000/mnf.m3u8?blog.ntnas.top
新视觉,http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8?zshangd
极速汽车体育,http://183.207.255.188/live/program/live/jsqchd/4000000/mnf.m3u8
超级体育,http://39.135.138.59:18890/PLTV/88888910/224/3221225622/index.m3u8
超级体育,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225767/index.m3u8
超级体育,http://39.135.138.60:18890/PLTV/88888888/224/3221225622/index.m3u8
超级体育,http://39.135.138.60:18890/PLTV/88888888/224/3221225648/index.m3u8
超级体育,http://39.135.138.60:18890/PLTV/88888888/224/3221225767/index.m3u8
超级体育,http://39.135.138.60:18890/PLTV/88888910/224/3221225648/index.m3u8?
超级体育,http://39.135.138.60:18890/PLTV/88888910/224/3221225709/index.m3u8
超级体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225622/index.m3u8
超级体育,http://39.135.138.58:18890/PLTV/88888888/224/3221225622/index.m3u8
超级体育,http://39.135.138.58:18890/PLTV/88888888/224/3221225767/index.m3u8
超级体育,http://39.134.116.30:8080/PLTV/88888910/224/3221225622/index.m3u8
超级体育,http://39.135.138.58:18890/PLTV/88888910/224/3221225622/index.m3u8
超级体育,http://39.135.138.58:18890/PLTV/88888910/224/3221225767/index.m3u8
超级体育,http://39.135.138.58:18890/PLTV/88888910/224/3221225648/index.m3u8
超级体育,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225622/index.m3u8
超级体育,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225648/index.m3u8
精品体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225709/index.m3u8
精品体育,http://39.135.138.58:18890/PLTV/88888888/224/3221225709/index.m3u8
咪咕体育,http://39.137.49.76:8080/PLTV/88888888/224/3221226241/index.m3u8?
超级体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225648/index.m3u8
超级体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225767/index.m3u8
超级体育,http://39.135.138.59:18890/PLTV/88888910/224/3221225648/index.m3u8
超级体育,http://39.135.138.59:18890/PLTV/88888910/224/3221225767/index.m3u8



央视,#genre#
CCTV1,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv1HD/__op/default/__f//index.m3u8
CCTV2,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv2HD/__op/default/__f//index.m3u8
CCTV3,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv3HD/__op/default/__f//index.m3u8
CCTV4,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv4HD/__op/default/__f//index.m3u8
CCTV5,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv5HD/__op/default/__f//index.m3u8
CCTV5+,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv5SportHD/__op/default/__f//index.m3u8
CCTV6,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv6HD/__op/default/__f//index.m3u8
CCTV7,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv7HD/__op/default/__f//index.m3u8
CCTV8,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv8HD/__op/default/__f//index.m3u8
CCTV9,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv9HD/__op/default/__f//index.m3u8
CCTV10,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv10HD/__op/default/__f//index.m3u8
CCTV11,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv11HD/__op/default/__f//index.m3u8
CCTV12,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv12HD/__op/default/__f//index.m3u8
CCTV13,http://baidu.live.cqccn.com/__cl/cg:live/__c/CCTVNewsHD/__op/default/__f//index.m3u8
CCTV14,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctvseHD/__op/default/__f//index.m3u8
CCTV15,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv15HD/__op/default/__f//index.m3u8
CCTV16,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv16HD/__op/default/__f//index.m3u8
CCTV17,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv17HD/__op/default/__f//index.m3u8
CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV1,http://39.184.224.99:9080/newlive/live/hls/1/live.m3u8
CCTV2,http://39.184.224.99:9080/newlive/live/hls/2/live.m3u8
CCTV3,http://39.184.224.99:9080/newlive/live/hls/3/live.m3u8
CCTV4,http://39.184.224.99:9080/newlive/live/hls/4/live.m3u8
CCTV5,http://39.184.224.99:9080/newlive/live/hls/5/live.m3u8
CCTV6,http://39.184.224.99:9080/newlive/live/hls/6/live.m3u8
CCTV7,http://39.184.224.99:9080/newlive/live/hls/7/live.m3u8
CCTV8,http://39.184.224.99:9080/newlive/live/hls/8/live.m3u8
CCTV9,http://39.184.224.99:9080/newlive/live/hls/9/live.m3u8
CCTV10,http://39.184.224.99:9080/newlive/live/hls/10/live.m3u8
CCTV11,http://39.184.224.99:9080/newlive/live/hls/11/live.m3u8
CCTV12,http://39.184.224.99:9080/newlive/live/hls/12/live.m3u8
CCTV13,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8?
CCTV14,http://39.184.224.99:9080/newlive/live/hls/14/live.m3u8
CCTV15,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8?
CCTV16,http://117.169.124.149:8080/live/HD-8000k-1080P-cctv16/1.m3u8
CCTV16,http://117.169.124.149:8080/live/HD-4000k-1080P-cctv16/1.m3u8
CCTV17,http://39.184.224.99:9080/newlive/live/hls/17/live.m3u8
CCTV12,http://117.40.212.162:8888/newlive/live/hls/14/live.m3u8
CCTV14,http://117.40.212.162:8888/newlive/live/hls/16/live.m3u8
CCTV5,http://223.95.111.98:5555/newlive/live/hls/5/live.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8?
CCTV9,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8?
CCTV10,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8?
CCTV16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8?
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV风云足球,http://111.20.40.170/PLTV/88888893/224/3221226984/index.m3u8
CCTV1,http://117.169.124.149:8080/live/cctv-1/1.m3u8
CCTV2,http://117.169.124.149:8080/live/cctv-2/1.m3u8
CCTV3,http://117.169.124.149:8080/live/cctv-3/1.m3u8
CCTV4,http://117.169.124.149:8080/live/cctv-4/1.m3u8
CCTV5,http://117.169.124.149:8080/live/cctv-5/1.m3u8
CCTV6,http://117.169.124.149:8080/live/cctv-6/1.m3u8
CCTV7,http://117.169.124.149:8080/live/cctv-7/1.m3u8
CCTV8,http://117.169.124.149:8080/live/cctv-8/1.m3u8
CCTV9,http://117.169.124.149:8080/live/cctv-9/1.m3u8
CCTV10,http://117.169.124.149:8080/live/cctv-10/1.m3u8
CCTV11,http://117.169.124.149:8080/live/cctv-11/1.m3u8
CCTV12,http://117.169.124.149:8080/live/cctv-12/1.m3u8
CCTV13,http://117.169.124.149:8080/live/cctv-13/1.m3u8
CCTV14,http://117.169.124.149:8080/live/HD-8000k-1080P-cctv14/1.m3u8
CCTV15,http://117.169.124.149:8080/live/cctv-15/1.m3u8
CCTV17,http://117.169.124.149:8080/live/HD-8000k-1080P-cctv17/1.m3u8
CCTV1,http://218.29.55.44:808/hls/1/index.m3u8
CCTV2,http://218.29.55.44:808/hls/2/index.m3u8
CCTV3,http://218.29.55.44:808/hls/3/index.m3u8
CCTV4,http://218.29.55.44:808/hls/4/index.m3u8
CCTV5,http://218.29.55.44:808/hls/5/index.m3u8
CCTV6,http://218.29.55.44:808/hls/6/index.m3u8
CCTV7,http://218.29.55.44:808/hls/7/index.m3u8
CCTV8,http://218.29.55.44:808/hls/8/index.m3u8
CCTV9,http://218.29.55.44:808/hls/9/index.m3u8
CCTV10,http://218.29.55.44:808/hls/10/index.m3u8
CCTV11,http://218.29.55.44:808/hls/11/index.m3u8
CCTV12,http://218.29.55.44:808/hls/12/index.m3u8
CCTV13,http://218.29.55.44:808/hls/13/index.m3u8
CCTV14,http://218.29.55.44:808/hls/14/index.m3u8
CCTV1,https://live.v1.mk/api/ghyx.php?id=CCTV1HD_6000
CCTV2,https://live.v1.mk/api/ghyx.php?id=CCTV2HD_6000
CCTV3,https://live.v1.mk/api/ghyx.php?id=CCTV3HD_6000
CCTV4,https://live.v1.mk/api/ghyx.php?id=CCTV4HD_6000
CCTV5,https://live.v1.mk/api/ghyx.php?id=CCTV5HD_6000
CCTV5+,https://live.v1.mk/api/ghyx.php?id=CCTV5plusHD_6000
CCTV6,https://live.v1.mk/api/ghyx.php?id=CCTV6HD_6000
CCTV7,https://live.v1.mk/api/ghyx.php?id=CCTV7HD_6000
CCTV8,https://live.v1.mk/api/ghyx.php?id=CCTV8HD_6000
CCTV9,https://live.v1.mk/api/ghyx.php?id=CCTV9HD_6000
CCTV10,https://live.v1.mk/api/ghyx.php?id=CCTV10HD_6000
CCTV11,https://live.v1.mk/api/ghyx.php?id=CCTV11HD_2000
CCTV12,https://live.v1.mk/api/ghyx.php?id=CCTV12HD_6000
CCTV13,https://live.v1.mk/api/ghyx.php?id=CCTV13HD_2000
CCTV14,https://live.v1.mk/api/ghyx.php?id=CCTV14HD_6000
CCTV15,https://live.v1.mk/api/ghyx.php?id=CCTV15HD_6000
CCTV16,https://live.v1.mk/api/ghyx.php?id=CCTV16HD_6000
CCTV17,https://live.v1.mk/api/ghyx.php?id=CCTV17HD_6000
CCTV1,http://125.210.152.19:9120/live/hzgq-cctv1gq-h264.m3u8
CCTV2,http://125.210.152.19:9120/live/hzgq-cctv2gq-h264.m3u8
CCTV3,http://125.210.152.19:9120/live/hzgq-cctv3gq-h264.m3u8
CCTV4,http://125.210.152.19:9120/live/hzgq-cctv4gq-h264.m3u8
CCTV5,http://125.210.152.19:9120/live/hzgq-cctv5gq-h264.m3u8
CCTV6,http://125.210.152.19:9120/live/hzgq-cctv6gq-h264.m3u8
CCTV5,http://125.210.152.19:9120/live/hzgq-cctvzhgq-h264.m3u8
CCTV7,http://125.210.152.19:9120/live/hzgq-cctv7gq-h264.m3u8
CCTV8,http://125.210.152.19:9120/live/hzgq-cctv8gq-h264.m3u8
CCTV9,http://125.210.152.19:9120/live/hzgq-cctvjlgq-h264.m3u8
CCTV10,http://125.210.152.19:9120/live/hzgq-cctv10gq-h264.m3u8
CCTV11,http://125.210.152.19:9120/live/hzgq-cctv11gq-h264.m3u8
CCTV12,http://125.210.152.19:9120/live/hzgq-cctv12gq-h264.m3u8
CCTV13,http://125.210.152.19:9120/live/hzgq-cctvnewsgq-h264.m3u8
CCTV14,http://125.210.152.19:9120/live/hzgq-cctvsegq-h264.m3u8
CCTV15,http://125.210.152.19:9120/live/hzgq-cctvmusicgq-h264.m3u8
CCTV16,http://125.210.152.19:9120/live/hzgq-cctv16gq-h264.m3u8
CCTV17,http://125.210.152.19:9120/live/hzgq-cctv17gq-h264.m3u8
CCTV1,http://223.95.111.98:5555/newlive/live/hls/1/live.m3u8
CCTV2,http://223.95.111.98:5555/newlive/live/hls/2/live.m3u8
CCTV3,http://223.95.111.98:5555/newlive/live/hls/3/live.m3u8
CCTV4,http://223.95.111.98:5555/newlive/live/hls/4/live.m3u8
CCTV6,http://223.95.111.98:5555/newlive/live/hls/6/live.m3u8
CCTV7,http://223.95.111.98:5555/newlive/live/hls/7/live.m3u8
CCTV8,http://223.95.111.98:5555/newlive/live/hls/8/live.m3u8
CCTV9,http://223.95.111.98:5555/newlive/live/hls/9/live.m3u8
CCTV10,http://223.95.111.98:5555/newlive/live/hls/10/live.m3u8
CCTV11,http://223.95.111.98:5555/newlive/live/hls/11/live.m3u8
CCTV12,http://223.95.111.98:5555/newlive/live/hls/12/live.m3u8
CCTV14,http://223.95.111.98:5555/newlive/live/hls/14/live.m3u8
CCTV15,http://223.95.111.98:5555/newlive/live/hls/15/live.m3u8
CCTV1,http://221.2.36.34:8888/newlive/live/hls/2/live.m3u8
CCTV2,http://221.2.36.34:8888/newlive/live/hls/3/live.m3u8
CCTV3,http://221.2.36.34:8888/newlive/live/hls/4/live.m3u8
CCTV4,http://221.2.36.34:8888/newlive/live/hls/5/live.m3u8
CCTV5,http://221.2.36.34:8888/newlive/live/hls/6/live.m3u8
CCTV5+,http://221.2.36.34:8888/newlive/live/hls/7/live.m3u8
CCTV6,http://221.2.36.34:8888/newlive/live/hls/8/live.m3u8
CCTV7,http://221.2.36.34:8888/newlive/live/hls/9/live.m3u8
CCTV8,http://221.2.36.34:8888/newlive/live/hls/10/live.m3u8
CCTV9,http://221.2.36.34:8888/newlive/live/hls/11/live.m3u8
CCTV10,http://221.2.36.34:8888/newlive/live/hls/12/live.m3u8
CCTV11,http://221.2.36.34:8888/newlive/live/hls/13/live.m3u8
CCTV12,http://221.2.36.34:8888/newlive/live/hls/14/live.m3u8
CCTV13,http://221.2.36.34:8888/newlive/live/hls/15/live.m3u8
CCTV14,http://221.2.36.34:8888/newlive/live/hls/16/live.m3u8
CCTV15,http://221.2.36.34:8888/newlive/live/hls/17/live.m3u8
CCTV1,http://175.10.37.200:9901/tsfile/live/0001_1.m3u8
CCTV2,http://175.10.37.200:9901/tsfile/live/0002_1.m3u8
CCTV3,http://175.10.37.200:9901/tsfile/live/0003_1.m3u8
CCTV4,http://175.10.37.200:9901/tsfile/live/0004_1.m3u8
CCTV5,http://175.10.37.200:9901/tsfile/live/0005_1.m3u8
CCTV6,http://175.10.37.200:9901/tsfile/live/0006_1.m3u8
CCTV7,http://175.10.37.200:9901/tsfile/live/0007_1.m3u8
CCTV8,http://175.10.37.200:9901/tsfile/live/0008_1.m3u8
CCTV11,http://175.10.37.200:9901/tsfile/live/0011_1.m3u8
CCTV12,http://175.10.37.200:9901/tsfile/live/0012_1.m3u8
CCTV14,http://175.10.37.200:9901/tsfile/live/0014_1.m3u8
CCTV15,http://175.10.37.200:9901/tsfile/live/0015_1.m3u8
CCTV1,http://1.195.111.251:11190/tsfile/live/0001_1.m3u8
CCTV2,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8
CCTV3,http://1.195.111.251:11190/tsfile/live/0003_1.m3u8
CCTV4,http://1.195.111.251:11190/tsfile/live/0004_1.m3u8
CCTV5,http://1.195.111.251:11190/tsfile/live/0005_1.m3u8
CCTV6,http://1.195.111.251:11190/tsfile/live/0006_1.m3u8
CCTV7,http://1.195.111.251:11190/tsfile/live/0007_1.m3u8
CCTV8,http://1.195.111.251:11190/tsfile/live/0008_1.m3u8
CCTV9,http://1.195.111.251:11190/tsfile/live/0009_1.m3u8
CCTV10,http://1.195.111.251:11190/tsfile/live/0010_1.m3u8
CCTV11,http://1.195.111.251:11190/tsfile/live/0011_1.m3u8
CCTV12,http://1.195.111.251:11190/tsfile/live/0012_1.m3u8
CCTV13,http://1.195.111.251:11190/tsfile/live/0013_1.m3u8
CCTV14,http://1.195.111.251:11190/tsfile/live/0014_1.m3u8
CCTV15,http://1.195.111.251:11190/tsfile/live/0015_1.m3u8
CCTV1,https://live.v1.mk/aishang/cctv1hd
CCTV2,https://live.v1.mk/aishang/cctv2hd
CCTV3,https://live.v1.mk/aishang/cctv3hd
CCTV4,https://live.v1.mk/aishang/cctv4hd
CCTV5,https://live.v1.mk/aishang/cctv5hd
